Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
1,Stephen Curry\curryst01,GSW,40231758,"$43,006,362 ","$45,780,966 ",,,,Bird Rights,"$129,019,086 "
2,Chris Paul\paulch01,OKC,38506482,"$41,358,814 ","$44,211,146 ",,,,Bird Rights,"$79,865,296 "
3,Russell Westbrook\westbru01,HOU,38178000,"$41,006,000 ","$43,848,000 ","$46,662,000 ",,,Bird Rights,"$123,032,000 "
4,John Wall\walljo01,WAS,37800000,"$40,824,000 ","$43,848,000 ","$46,872,000 ",,,Bird Rights,"$122,472,000 "
5,James Harden\hardeja01,HOU,37800000,"$40,824,000 ","$43,848,000 ","$46,872,000 ",,,Bird Rights,"$122,472,000 "
6,LeBron James\jamesle01,LAL,37436858,"$39,219,565 ","$41,002,273 ",,,,Cap Space,"$76,656,423 "
7,Kevin Durant\duranke01,BRK,37199000,"$39,058,950 ","$40,918,900 ","$42,778,850 ",,,Sign and Trade,"$117,176,850 "
8,Blake Griffin\griffbl01,DET,34234964,"$36,595,996 ","$38,957,028 ",,,,Bird Rights,"$70,830,960 "
9,Kyle Lowry\lowryky01,TOR,33296296,"$30,000,000 ",,,,,Bird Rights,"$63,296,296 "
10,Paul George\georgpa01,LAC,33005556,"$35,450,412 ","$37,895,268 ",,,,Maximum Salary,"$68,455,968 "
11,Klay Thompson\thompkl01,GSW,32742000,"$35,361,360 ","$37,980,720 ","$40,600,080 ","$43,219,440 ",,Bird Rights,"$189,903,600 "
12,Jimmy Butler\butleji01,MIA,32742000,"$34,379,100 ","$36,016,200 ","$37,653,300 ",,,Sign and Trade,"$103,137,300 "
13,Kemba Walker\walkeke02,BOS,32742000,"$34,379,100 ","$36,016,200 ","$37,653,300 ",,,Sign and Trade,"$103,137,300 "
14,Kawhi Leonard\leonaka01,LAC,32742000,"$34,379,100 ","$36,016,200 ",,,,Cap Space,"$67,121,100 "
15,Gordon Hayward\haywago01,BOS,32700690,"$34,187,085 ",,,,,Cap space,"$32,700,690 "
16,Mike Conley\conlemi01,UTA,32511623,"$34,504,132 ",,,,,Cap Space,"$54,938,006 "
17,Kyrie Irving\irvinky01,BRK,31742000,"$33,329,100 ","$34,916,200 ","$36,503,300 ",,,Cap space,"$136,490,600 "
18,Tobias Harris\harrito02,PHI,31034483,"$33,517,241 ","$36,000,000 ","$38,482,759 ","$40,965,517 ",,Bird Rights,"$180,000,000 "
19,Khris Middleton\middlkh01,MIL,30603448,"$33,051,724 ","$35,500,000 ","$37,948,276 ","$40,396,552 ",,Bird Rights,"$137,103,448 "
20,Paul Millsap\millspa01,DEN,30500000,,,,,,Cap space,"$30,500,000 "
21,Damian Lillard\lillada01,POR,29802321,"$31,626,953 ","$43,750,000 ","$47,250,000 ","$50,750,000 ","$54,250,000 ",1st Round Pick,"$257,429,274 "
22,Kevin Love\loveke01,CLE,28900000,"$31,300,000 ","$31,300,000 ","$28,900,000 ",,,Bird Rights,"$120,400,000 "
23,Nikola Vu?evi?\vucevni01,ORL,28000000,"$26,000,000 ","$24,000,000 ","$22,000,000 ",,,Bird Rights,"$100,000,000 "
24,Al Horford\horfoal01,PHI,28000000,"$27,500,000 ","$27,000,000 ","$26,500,000 ",,,Cap Space,"$97,000,000 "
25,DeMar DeRozan\derozde01,SAS,27739975,"$27,739,975 ",,,,,Cap Space,"$27,739,975 "
26,CJ McCollum\mccolcj01,POR,27556959,"$29,354,152 ","$30,864,198 ","$33,333,333 ","$35,802,469 ",,1st Round Pick,"$156,911,111 "
27,Joel Embiid\embiijo01,PHI,27504630,"$29,542,010 ","$31,579,390 ","$33,616,770 ",,,1st Round Pick,"$122,242,800 "
28,Andrew Wiggins\wiggian01,GSW,27504630,"$29,542,010 ","$31,579,390 ","$33,616,770 ",,,1st Round Pick,"$122,242,800 "
29,Kristaps Porzi??is\porzikr01,DAL,27285000,"$29,467,800 ","$31,650,600 ","$33,833,400 ","$36,016,200 ",,Bird Rights,"$122,236,800 "
